Service Name,Service Alternate Name,Category,Organization,Main Phone Number,Alternative Phone Number,Fax Number,Street Address,City,State,ZIP Code,URL,Description
Early Childhood Services,,Early Childhood Services, Mothers of Preschoolers,888-910-6677,,,,,MO,,www.facebook.com/JoplinMOPS ,"Play groups and socialization for children/mothers of young children. Breakfast served, speaker, & creative activity two times a month."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Joplin,417-625-5200,,,310 W. 8th ,Joplin,MO,64804,https://parentsasteachers.org,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Carthage,417-359-7102,,,1325 River   ,Carthage,MO,64836,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Carl Junction,417-649-5709,,,206 S. Roney , Carl Junction,MO,64834,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Granby - East Newton,417-472-6882,,,22808 MO 86 Hwy,Granby,MO,64844,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers -Neosho,417-451-8632,,,201 N. Wood St,Neosho,MO,64850,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Sarcoxie,417-548-3421,,,214 S. 11th                                                                            ,Sarcoxie,MO,64862,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Seneca,417-776-1204,,,914 Frisco St                                                                         ,Seneca,MO,64844,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,Parents As Teachers - Webb City,417-776-1204,,,914 Frisco St                                                                          ,Seneca,MO,64844,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,The Alliance of Southwest Missouri,417-673-6000,,,411 Madison                                                                           ,Webb City,MO,64870,,"Home Visits - child development, nutrition, parenting help."
Early Childhood Services,,Early Childhood Services,The Alliance of Southwest Missouri,417-782-9899,,,1601 S. Wall Ave ,Joplin,MO,64804,,"Home Visiting program for families with children under 3 who meet eligibility requirements.  Various programs in the areas of health, safety, prevention and education for families"
Early Childhood Services,,Early Childhood Services,Birth to Three,620-724-628/1,,,947 W. 47 Hwy                                                                       ,Girard,KS,66743,,Early intervention services for infants & toddlers
Early Childhood Services,,Early Childhood Services,Family Resource Center,620-235-3150,,,1600 N. Walnut                                                                      ,Pittsburg,KS,66162,,"Child Care, Preschool and family services"
Early Childhood Services,,Early Childhood Services,Pittsburg Community Schools,620-235-3100,,,510 Deill                                                                                               ,Pittsburg,KS,66762,www.usd250.org,"Parent and student information, school calendar, school news."
Early Childhood Services,,Early Childhood Services,Educare Oklahoma City,405-605-8232,,,500 SE Grand Blvd,Oklahoma City,OK,73129,,Educare Oklahoma City helps children in the Oklahoma City Metro area aged six weeks to five years-old prepare for school.
Early Childhood Services,,Early Childhood Services,SoonerStart,405-215-2156 ,,,,,,,https://sde.ok.gov/soonerstart,SoonerStart is OklahomaÕs early intervention program. It is designed to meet the needs of families with infants or toddlers with developmental delays. In accordance with the Individuals with Disabilities Education Act (IDEA) the program builds upon and provides supports and resources to assist family members to enhance infantÕs or toddlerÕs learning and development through everyday learning opportunities.
Early Childhood Services,,Early Childhood Services,Parents as Teachers,405-271-7611,,405-271-1011,"1000 NE 10th Street, Room 707",Oklahoma City,OK,73117,,"Parents as Teachers provide voluntary home visitation and community-based services that teach positive parenting skills and connects families with resources that help families grow strong.  Upon enrollment, trained professionals will work with the parent to help ensure families will be successful.  The family will learn about parenting skills and child development. Parents as Teachers families may also be connected with needed community resources such as job training and child care."
Emergency Hotline Numbers,,Emergency Hotline Numbers,Sex Offender Registry Hotline,1-888-767-6747,,,,,,,https://www.mshp.dps.missouri.gov/MSHPWeb/PatrolDivisions/CRID/SOR/SORPage.html,Find out if there is a registered sex offender living near you.
Emergency Hotline Numbers,,Emergency Hotline Numbers,Red Cross,1-888-460-1050,,,,,,,www.redcross.org,Emergency and disaster relief services
Emergency Hotline Numbers,,Emergency Hotline Numbers,Salvation Army,620-231-4230,,,"307 E. Fifth,          ",Pittsburg,KS,66762, www.salvationarmyusa.org,"Emergency assistance, thrift store"
Emergency Hotline Numbers,,Emergency Hotline Numbers,Oklahoma Emergency Help,,,,,,,,https://oksa.ou.edu/emergency-help,Link leads to multiple emergency resource help
Emergency Hotline Numbers,,Emergency Hotline Numbers,"Abuse, Neglect and Exploitation Hotline",1-800-392-0210,,,,,,,,"Responds to reports of abuse, neglect, and financial exploitation."
Emergency Hotline Numbers,,Emergency Hotline Numbers,Methamphetamine Hotline,1-888-823-6384,,,,,,,http://drughelpline.org/meth-hotline/,Methamphetamine Hotline
Emergency Hotline Numbers,,Emergency Hotline Numbers,Missing Person Hotline,1-800-877-3452,,,,,,,http://www.missingpersonsguide.com/guide/,"Every case is different so every search is different. The police and public don't know the missing person Ñ the best judges of appropriate action will be those closest. You can't do everything, so just do the best you can with what you have."
Emergency Hotline Numbers,,Emergency Hotline Numbers,Poison Control Hotline,1-800-222-1222,,,,,,,https://aapcc.org/,"Poison control centers offer free, confidential, expert medical advice 24/7"
Emergency Hotline Numbers,,Emergency Hotline Numbers,Suicide Prevention Hotline,1-800-273-8255,,,,,,,https://suicidepreventionlifeline.org/,"The Lifeline provides 24/7, free and confidential support for people in distress, prevention and crisis resources for you or your loved ones, and best practices for professionals."
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Carthage Crisis Center,417-358-3534,,,100 S. Main St                                                                        ,Carthage,MO,,,"3 Daily Meals, Lodging, Food Baskets, Other Assistance.                                                                  Public welcome at noon if over 60 +               
Temporary emergency shelter for children in a family crisis                             (Children 0 - 17 only)
Providing a unique spectrum of behavioral health services to children and families.
Contact:  Shonna Greniger, sgreninger@escswa.org
Women & Children - shelter for domestic violence, substance abuse treatment, trainings and counseling.
Provide social services.  Feeding Program.  Disaster Services.  Christmas Assistance.
Men's & Women's Dormitories
Single adults and families
For men and women & Bathing Facility
Bathing Facilities   
Emergency food and shelter
We serve those who are experiencing or at risk for homelessness. Through our work, we treat both the symptoms and the causes of homelessness Ñ pursuing a future where every Tulsan has a home.
""Emergency Financial Assistance
Food & Nutrition Programs
Emergency Shelter
Seasonal Services
Transitional Housing
Food Pantry
Community Recreation & Education Programs""
Homeless Shelter for Men"
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Children's Haven of SWMO,417-782-4453,,,711 S. Picher                                                                       ,Joplin,MO,64801,,Temporary emergency shelter for children in a family crisis                             (Children 0 - 17 only)
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,"Great Circles, Springfield",417-865-1646,,,1212 W Lombard St                                                           ,Springfield,MO,65806,,Providing a unique spectrum of behavioral health services to children and families.
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Housing Connect,417-627-2039,,,302 S. Joplin Ave                                                                  ,Joplin,MO,64801,,"Contact:  Shonna Greniger, sgreninger@escswa.org"
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Lafayette House,417-782-1772,,,1809 Connor                                                                       ,Joplin,MO,64801,,"Women & Children - shelter for domestic violence, substance abuse treatment, trainings and counseling."
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Salvation Army,417-624-4528,,,320 E. 8th St                                                                           ,Joplin,MO,64801,,Provide social services.  Feeding Program.  Disaster Services.  Christmas Assistance.
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Soul's Harbor Mission,417-623-7327 ,417-623-4358,,915 S. Main St                                                                        ,Joplin,MO,64801,,Men's & Women's Dormitories
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,"Restoration Life Center, Neosho",417-455-9393                                       ,,417-456-5080,415 North High,Neosho,MO,64850,,Single adults and families
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Watered Gardens,417-623-6030,,,531 S. Kentucky,Joplin,MO,64801,,For men and women & Bathing Facility
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Joplin Family YMCA, 417-781-9622,,,3404 W McIntosh Cir Dr,Joplin,MO,64804,,Bathing Facilities   
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Crisis Resource Center of Crawford County,620-231-8692         ,800-794-9148,,409 N. Walnut,Pittsburg,KS,66762,,Emergency food and shelter
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Tulsa Day Center,918-583-5588,,918-583-6745,415 West Archer Street,Tulsa,OK,74103,,"We serve those who are experiencing or at risk for homelessness. Through our work, we treat both the symptoms and the causes of homelessness Ñ pursuing a future where every Tulsan has a home."
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,Tulsa Center of Hope,918-582-7201,,,102 N. Denver,Tulsa,OK,74103,,"Emergency Financial Assistance
Food & Nutrition Programs
Emergency Shelter
Seasonal Services
Transitional Housing
Food Pantry
Community Recreation & Education Programs"
Emergency Shelters and Bathing,,Emergency Shelters and Bathing,John 3:16 Mission,918-587-1187,,918-551-7024,506 N. Cheyenne Ave.,Tulsa,OK,74103,,Homeless Shelter for Men
Employment Agencies,,Employment Agencies,Adecco Staffing,417-624-1911,,,2639 E 32nd St Ste                                                                 ,Joplin,MO,64804,,"Testing, assessment of skills & aptitude.  Referrals to temporary work assignments.  Could lead to permanent employment.                 Adecco helps making the right ÒmatchesÓ - matching your job preferences and skill level with our clientsÕ needs."
Employment Agencies,,Employment Agencies,Alternative Opportunities Employment Services,417-659-9911,,,2000 S. Maiden Lane                                                            ,Joplin,MO,64804,,Job searches for persons w/disabilities
Employment Agencies,,Employment Agencies,Carthage Family Literacy Council,417-358-5926,,,,,,, https://www.facebook.com/CarthageFamilyLiteracyCouncil/,Program that promotes early reading to babies and young children.
Employment Agencies,,Employment Agencies,Family Support Network (FSN) ,417-781-0352,,,302 S. Joplin                                                                        ,Joplin,MO,64801,,"Homeless Job Employment - Assessment, life skills training, work experience, OJT.                                  FSN is for participant seeking employment or special training to improve the level of normal interdependence and be motivated."
Employment Agencies,,Employment Agencies,Economic Security Corp. - Neosho,417-451-2206,,,116 N. Jefferson                                                               ,Neosho,MO,64850,,Community Action Agency
Employment Agencies,,Employment Agencies,Educational Opportunity Center,866-822-1362,,,601 Laclede Rm 250                                                         ,Neosho,MO,64850,,Provides educational information and services to eligible residents of SW MO.  Also provides guidance to HS drop-outs needing assistance to re-enter a secondary education program or pursue alternative educational opportunities.
Employment Agencies,,Employment Agencies,Express Employment Professionals,417-623-6500,,,1501 E 20th St                                                                       ,Joplin,MO,64804,,Helping people find jobs and help local businesses find the right people for their organization.
Employment Agencies,,Employment Agencies,Joplin MO Career Center ,417-629-3000,,, 730 S Wall Ave                                                                      ,Joplin,MO,64801,,"Job-matching services, hiring and recruiting events, customized training assistance, etc."
Employment Agencies,,Employment Agencies,"Joplin Sheltered Workshop, Inc",417-781-2862,,,501 S. School Ave.                                                               ,Joplin,MO,64801,,Employment and job opportunities for developmentally disabled.  Other jobs are available as well.  Cert. by MO Voc. Rehab.
Employment Agencies,,Employment Agencies,Job Corps,417-629-3000,,,730 Wall                                                                                  ,Joplin,MO,64801,,Free residential education & training for ages 16 - 24 who meet OMB poverty guidelines.  
Employment Agencies,,Employment Agencies,"Lake County WIA, Title I / Welfare",417-629-3000,,,730 Wall Street                                                                           ,Joplin,MO,64801,,"JTPA, OJT, education, career planning, EWP, Career Center, Youth Program 14 - 21 yrs, COT, and Research library for anyone."
Employment Agencies,,Employment Agencies,"Lamar Enterprises, Inc",417-682-3506,,,1401 Maple St.                                                                         ,Lamar,MO,64759,,Employment opportunities for Developmental Disabled.  Mental & Physically challenged individuals.
Employment Agencies,,Employment Agencies,Manpower,417-781-8572,,,2660 E 32nd St Suite 103                                                  ,Joplin,MO,64804,,"Testing, assessment of skills & aptitude.  Referrals to temporary work assignments.  Could lead to permanent employment."
Employment Agencies,,Employment Agencies,METP-MO Employment and Training Program,573-882-7477,,,,,,,https://extension2.missouri.edu/, Helps families on food stamps with education and other assistance
Employment Agencies,,Employment Agencies,METP-MO Employment and Training Program                                               University of MO Extension,573-882-7477                            417-358-2158,,,301 S Main St                                                                      ,Carthage,MO,64836,,"METP, MO Employment and Training Program.  Helps families on food stamps with education and other assistance"
Employment Agencies,,Employment Agencies,Missouri Work Assistance,417-623-1208,,,"705 Illinois Ave, Ste. 5",Joplin,MO,64804,,"Families on TANF receive support services for job preparation, find child care, and transportation."
Employment Agencies,,Employment Agencies,MO Career Center / Work Assistance / Job Center,417-623-3392 ,417-629-3000,,730 S. Wall Ave.                                                                     ,Joplin,MO,64801,,"Has Veterans Benefits!!   Training Center:  One stop for Job search(jobs.mo.gov), Hiring events, resume, skill enhancement, clothes closet for job seekers, NCRC and more.   Works with clients on TANF & SNAP"
Employment Agencies,,Employment Agencies,Penmac,417-781-1009    ,417-358-7763,,3130 Wisconsin Ave #2,Joplin,MO,64804,,"To help businesses recruit staff and manage HR services, as well as to help individuals find employment."
Employment Agencies,,Employment Agencies,Peoplelink Staffing Solutions,417-623-2900,,,"1329 E. 32nd, St Ste 9                                                        ",Joplin,MO,64804,,Bringing together great employees and employers throughout the country.
Employment Agencies,,Employment Agencies,Preferred Employment Services ,800-878-1307,,,2000 S Maiden Ln                                                                 ,Joplin,MO,64804,,"We are an equal opportunity employer/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, national origin, sexual orientation, gender identity, marital status, disability, protected veteran status, or any other characteristic protected by law."
Employment Agencies,,Employment Agencies,Vocational Rehabilitation Office,417-629-3067,,,801 E. 15th St. Ste. B                                                          ,Joplin,MO,64801,,"Assessments & Job placements for persons w/disabilities                             Services help eligible people with disabilities obtain, maintain or advance in employment.                                       "
Employment Agencies,,Employment Agencies,"Southeast KANSASWORKS, Inc.
",620-342-3355,,,"215 W. 6th Ave, Suite 104",Emporia,KS,66801,,"Mon - Fri:   8:00 am to 5:00 pm                                              
Southeast KANSASWORKS can help you identify your career interests and educate you about the in-demand careers in the local area.
"
Employment Agencies,,Employment Agencies,Express Employment Professionals,620-331-6200,,,2009 N Penn Ave                                                                   ,Independence,KS,67301,,"Express Employment Professionals is one of the top staffing companies in the U.S. and Canada. Every day, we help people find jobs and provide workforce solutions to businesses. Express provides a full range of employment solutions that include full-time, temporary, and part-time employment in a wide range of positions, including Professional, Light Industrial, and Office Services.  "
Employment Agencies,,Employment Agencies,Supported Employment Services,620-431-1805,,,222 W Main St                                                                           Chanute,,KS,66720,,Employment Agency
Employment Agencies,,Employment Agencies,Oklahoma Staffing Specialists,918-574-2292,,,"5505 S Mingo Rd, Ste B                                                                                  ",Tulsa,OK,74146,,Employment agency.
Employment Agencies,,Employment Agencies,Oklahoma Works American Job Center ,918-542-5561,,,121 N Main St                                                                         ,Miami,OK,74354,https://www.ok.gov/oesc/,
Employment Agencies,,Employment Agencies,Experience Works ,877-872-4740,,,,,,, https://www.experienceworks.org/,Senior Community Services
Equestrian Therapy,,Equestrian Therapy,Horses of Hope - Missouri,417-345-5210,,,55 Kelly Rd   ,Buffalo,MO,65622,,"Professional therapeutic, educational and recreational equestrian services to all populations."
Equestrian Therapy,,Equestrian Therapy,Horses of Hope - Kansas,620-674-3458,,,6968 SE 20th St,Baxter Springs,KS,66713,,"Professional therapeutic, educational and recreational equestrian services to all populations."
Equestrian Therapy,,Equestrian Therapy,"Flames to Hope, Inc.
Equine Assisted Services",405-924-4380,,,9850 E Maguire Road,Noble,OK,73068,,We provide both mobile and onsite Equine Assisted Services using miniature equine.
Equestrian Therapy,,Equestrian Therapy,Hoofbeats For Hope,405-650-6175,405-615-7191,,8900 Slaughterville Road,Lexington,OK,73051,,"This experience has multiple opportunities for students to increase physical, social and communication skills. Students develop muscle strength, balance and coordination while riding.  The thrill of riding a horse is an accomplishment that is immeasurable to students who have difficulty with mobility, self-control and/or communication."
Family Caregiver Services,,Family Caregiver Services,Area Agency on Aging,417-781-7562,,,531 E. 15th St,Joplin,MO,64801,,"The Area Agency on Aging Region X serves the senior population of Barton, Jasper, Newton, and McDonald counties.  They provide Meals on Wheels plus help with Medicare and Medicaid information and other age related information."
Family Caregiver Services,,Family Caregiver Services,The Independent Living Center / Consumer Directed Services ,417-659-8086,,,2639 E. 34th St,Joplin,MO,64804,,"The Independent Living Center (TILC) is a private, non-residential, not-for-profit corporation devoted to meeting the needs of individuals with disabilities and to serving them, their families and communities."
Family Caregiver Services,,Family Caregiver Services,Carthage Health & Rehab,"417-358-1937
",,,"1901 Buena Vista Ave
",Carthage,MO,64836,http://carthagehealthandrehab.com/,They hold their meetings on Third Thursday from 4 - 5 for Care Givers dealing with people who have Alzheimer's.
Family Caregiver Services,,Family Caregiver Services,Hospice Compassion,"417-623-8272
",,,,,,,,"They hold their Bereavement support group meetings the 2nd Wed of every month from 11 - 12:30.  (Located by Hilton Hotel).  
They also have a group the 4th Wed at Spring River in the ""Lodge"" from 6:00 - 7:00. 
 They offer a group in Lamar the 2nd Tue of the month in the evening.  Mike also doe community outreach home visits."
Family Caregiver Services,,Family Caregiver Services,Area Agency on Aging,417-781-7562,,,"531 E 15th St
",Joplin,MO,64804,http://www.aaaregionx.org/,"The Alzheimer's Association host a group the third Thursday of each month at 6:00 pm.  
They welcome those caregivers of anyone with dementia / memory issues as well."
Family Caregiver Services,,Family Caregiver Services,Webb City Public Center Library,"417-673-1933
",,,"101 S. Liberty St.
",Webb City,MO,64870,,"Designed to provide emotional, educational and social support for caregivers through regularly scheduled meetings.  They help participants develop methods and skills to solve problems.  The groups encourage caregivers to maintain their own personal, physical and emotional health, as well as optimally care for the person with dementia."
Family Caregiver Services,,Family Caregiver Services,SKIL - Home and Community - Based Services,620-431-0757,,,2 W. Main Street             ,Chanute,KS,66720,,"SKIL was created by; is driven by; and is focused on persons with disabilities, their families, and communities. We provide Advocacy, Education, and Support with Customer Controlled services to break down and remove existing barriers and bridge social gaps to ensure and preserve Equality and Independence for all."
Family Caregiver Services,,Family Caregiver Services,SKIL - Home and Community -Based Services,620-429-3600,,,125 W. Maple    ,Columbus,KS,66725,https://www.skilonline.com/,"SKIL was created by; is driven by; and is focused on persons with disabilities, their families, and communities. We provide Advocacy, Education, and Support with Customer Controlled services to break down and remove existing barriers and bridge social gaps to ensure and preserve Equality and Independence for all."
Family Caregiver Services,,Family Caregiver Services,SKIL - Home and Community - Based Services,620-421-5502,,,1801 Main                         ,Parsons,KS,67357,https://www.skilonline.com/,"SKIL was created by; is driven by; and is focused on persons with disabilities, their families, and communities. We provide Advocacy, Education, and Support with Customer Controlled services to break down and remove existing barriers and bridge social gaps to ensure and preserve Equality and Independence for all."
Family Caregiver Services,,Family Caregiver Services,SKIL - Home and Community - Based Services,620-231-6780,,,1403 N. Broadway       ,Pittsburg,KS,66762,https://www.skilonline.com/,"www.usd250.org. SKIL was created by; is driven by; and is focused on persons with disabilities, their families, and communities. We provide Advocacy, Education, and Support with Customer Controlled services to break down and remove existing barriers and bridge social gaps to ensure and preserve Equality and Independence for all."
Family Caregiver Services,,Family Caregiver Services,Breakfast Clubs for Alzheimer's Care Partners,620-431-4240,,,"202 S. Lincoln Avenue
",Chanute,KS,66720,,"First Wednesday of the Month
9:00 am to 10:30 am"
Family Caregiver Services,,Family Caregiver Services,Breakfast Clubs for Alzheimer's Care Partners,620-423-0423,,,"98 Main Street
",Parsons,KS,67357,,"First Thursday of the Month
9:00 am to 10:30 am"
Family Caregiver Services,,Family Caregiver Services,Breakfast Clubs for Alzheimer's Care Partners,620-223-4171,,,"10 N. Main Street
",Fort Scott,KS,66701,,"Third Wednesday of the Month
9:00 am to 10:30 am"
Family Caregiver Services,,Family Caregiver Services,Breakfast Clubs for Alzheimer's Care Partners,620-231-2170,,,"415 N. Pine
",Pittsburg,KS,66762,,"Third Thursday of the Month
9:00 am to 10:30 am"
Family Caregiver Services,,Family Caregiver Services,Four County Mental Health Center,620-251-8180,620-331-1748,,,,,,,"Breakfast on the third Thursday of each month at area restaurants with no charge to caregivers.
Lunch Bunch on the second Thursday of each month at Big Cheese Pizza in Independence from 11:00 am to 12:30 am, no charge to caregivers."
Family Caregiver Services,,Family Caregiver Services,Oklahoma Caregiver Coalition , 918-579-9495 ,,,2 West 2nd Street,Tulsa,OK,74103,http://www.okcares.org/,"The mission of the Oklahoma Caregiver Coalition (OCC) is to improve the supports and experiences over the lifespan of caregivers through education, advocacy, and access to resources. "
Family Caregiver Services,,Family Caregiver Services,Big Five Community Services,580-924-5331,,,1502 N. First ,Durant,OK,74701,,"Serves Bryan, Carter, Coal, Love and Pontotoc Counties with Family Caregivers Program"
Family Caregiver Services,,Family Caregiver Services,Alzheimer's Association,800-272-3900,,,,,,,https://www.alz.org/oklahoma,"If you or someone you know has been diagnosed with Alzheimer's or another dementia, you are not alone. The Alzheimer's Association is the trusted resource for reliable information, education, referral and support to millions of people affected by the disease. "
Family Caregiver Services,,Family Caregiver Services,"Eastern Oklahoma Development District
(EODD)","918-913-9585 
",800-211-2116,,,,,,http://www.eoddok.org/area-agency-on-aging/caregiver,"Although caregiving can be rewarding, it can also be stressful. At times you may not know where to go for answers, emotional support, or a much deserved break"
Family Caregiver Services,,Family Caregiver Services,Family Caregiver Alliance-National Center on Caregiving, 800-445-8106,,,,,,,https://www.caregiver.org/,"For 40 years Family Caregiver Alliance (FCA) has supported and sustained the important work of families and friends nationwide who care for adult loved ones with chronic, disabling health conditions."
Family Caregiver Services,,Family Caregiver Services,Alzheimer's Association,1-800-272-3900,,,,,,,https://www.alz.org/alzheimers-dementia/what-is-alzheimers,"If you or someone you know has been diagnosed with Alzheimer's or another dementia, you are not alone. The Alzheimer's Association is the trusted resource for reliable information, education, referral and support to millions of people affected by the disease. "
Financial Assistance,,Financial Assistance,Catholic Charities     ,(417) 624-3790,,,403 E 4th St,Joplin,MO,64801,https://www.ccsomo.org/,
Financial Assistance,,Financial Assistance,Consumer Credit Counseling Services,417-782-6830,800-882-0808,,"1027 S. Main, Suite 304",Joplin,MO,64804,,
Financial Assistance,,Financial Assistance,Department of Social Services, 1-855-373-4636,,,,,,, https://dss.mo.gov/,
Financial Assistance,,Financial Assistance,ESC VITA - Financial Consultation,417-781-0352,,,302 S. Joplin    ,Joplin,MO,64801,,
Financial Assistance,,Financial Assistance,H2O Help - MO American Water,314-863-0015,,,2709 Woodson Rd     ,St. Louis,MO,63114,,
Financial Assistance,,Financial Assistance,Joplin Area Ministerial Alliance ,417-439-1206,,,,Joplin,MO,,www.joplinalliance.org,
Financial Assistance,,Financial Assistance,Ozark Area Community Action   ,417-862 - 4314,,,215 S. Barnes Ave   ,Springfield,MO,65802,,
Financial Assistance,,Financial Assistance,Society of St. Vincent de Paul ,417-625-1085,,,"512 E 32nd St, #108    ",Joplin,MO,64804,http://www.svdpjomo.org/,
Financial Assistance,,Financial Assistance,USDA Rural Development Services,417-358-8198,,,416 E. Airport Drive  ,Carthage,MO,64836,,
Financial Assistance,,Financial Assistance,Community Foundation of Southeast Kansas, 620-231-8897,,,"100 S Broadway St, #100      ",Pittsburg,KS,66762,southeastkansas.org,
Financial Assistance,,Financial Assistance,Oklahoma Assistance and Financial Aid Programs,,,,,,,,https://www.needhelppayingbills.com/html/oklahoma_assistance_programs.html,
Financial Assistance,,Financial Assistance,Oklahoma Rental Assistance,641-715-3900,,,,,,,https://www.rentassistance.us/st/oklahoma,
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Area Agency on Aging: Meals on Wheels,417-781-7562,,,531 E. 15th Street,Joplin,MO,64804,,"Meals on Wheels, etc. (Homebound meals for qualifying individuals only, must be over 60)                                      Jobs for people 60 and over."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,The Center of Carl Junction,417-649-6437,,,303 N. Main Street,Carl Junction,MO,64834,,"Lunch served Monday-Friday 11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Joplin Senior Center,417-781-9353,,,2616 S. Picher Ave,Joplin,MO,,,(Joplin) Meals start at 11:30 am.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Webb City Senior Center,417-673-1876,,,210 N. Pennsylvania,Webb City,MO,64870,,"Lunch served Monday-Friday 11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Barton County Senior Center,417-682-3881,,,306 11th Street W,Lamar,MO,64759,,"(Barton County)     also provides Glaucoma Testing, Foot Clinic, Exercise and Blood Pressure Clinic"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,C.A.N.D.O. Senior Center (Carthage),417-358-4741,,,404 3rd Street,Carthage,MO,64836,,"Lunch served Monday-Friday 11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,John Talyor Senior Center,417-466-2072,,,425 N. Main St,Mount Vernon,MO,65712,,"Lunch served Monday-Friday  11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Heritage Harmony,417-678-5383,,,700 S. Hudson Avenue,Aurora,MO,65605,,"Lunch served Monday-Friday  11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Neosho Center for Senior,417-451-0981,,,1017 Carl Sweeney Parkway,Neosho,MO,64850,,"Lunch served Monday-Friday                               11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,McDonald County Senior Center,417-475-3511 ,417-475-3559,,624 Johnson Drive,Noel,MO,64854,,"Lunch served Monday-Friday                       11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Monett Senior Center / Loaves &                                        Fishes,417-235-3285 ,417-235-5723,,1600 N. Central Avenue,Monett,MO,65708,,"Lunch served Monday-Friday                         11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Cassville Senior Center,417-847-4510 ,417-847-0131,,1111 Fair Street,Cassville,MO,65625,,"Lunch served Monday-Friday                      11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Central Crossing Senior Center,417-858-6952,,,20801 YY 15 Rd,Shell Knob,MO,65747,,"Lunch served Monday-Friday               11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
